sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12
883779813_Pg346_01.fsa,Pg346,IN_01,IN,1,0.0010002000400080016,0.002000400080016003,0.0030006001200240046,0.0010002000400080016,0.0020004000800160036,0.002000400080016003,0.9773954790958193,0.002000400080016003,0.0010002000400080016,0.0030006001200240046,0.0030006001200240046,0.0026005201040208044
883779813_Pg346_02.fsa,Pg346,IN_01,IN,2,9.992006394884093e-4,0.0059952038369304565,0.0029976019184652283,0.0019984012789768186,0.004596322941646684,0.002797761790567546,0.9520383693045563,0.004996003197442046,0.0011990407673860913,0.006394884092725821,0.005395683453237411,0.010591526778577139
883779813_Pg346_03.fsa,Pg346,IN_01,IN,3,0.001001201441730076,0.001001201441730076,0.0018021625951141372,0.001001201441730076,0.0016019223067681217,0.001001201441730076,0.986383660392471,0.001001201441730076,0.001001201441730076,0.001001201441730076,0.0012014417300760913,0.002002402883460152
883779813_Pg346_04.fsa,Pg346,IN_01,IN,4,0.0010004001600640254,0.0010004001600640254,0.002000800320128051,0.0010004001600640254,0.001800720288115246,0.0010004001600640254,0.9851940776310524,0.0010004001600640254,0.0012004801920768306,0.001800720288115246,0.0012004801920768306,0.001800720288115246
883779813_Pg346_05.fsa,Pg346,IN_01,IN,5,0.001002004008016032,0.002004008016032064,0.002004008016032064,0.001002004008016032,0.0020040080160320644,0.003006012024048096,0.9823647294589178,0.001002004008016032,0.0012024048096192386,0.001002004008016032,0.0014028056112224449,0.002004008016032064
883779813_Pg346_06.fsa,Pg346,IN_01,IN,6,0.007198560287942413,0.001999600079984003,0.001999600079984003,9.998000399920016e-4,0.0015996800639872027,0.001999600079984003,0.9664067186562688,9.998000399920016e-4,0.012397520495900819,0.001999600079984003,0.001199760047990402,0.001199760047990402
883779813_Pg346_07.fsa,Pg346,IN_01,IN,7,9.998000399920016e-4,0.003999200159968006,0.002999400119976005,9.998000399920016e-4,0.002399520095980804,0.002999400119976005,0.9762047590481903,9.998000399920016e-4,9.998000399920016e-4,0.002999400119976005,0.0013997200559888023,0.002999400119976005
883779813_Pg346_08.fsa,Pg346,IN_01,IN,8,0.00100080064051241,0.00200160128102482,0.00200160128102482,0.00100080064051241,0.0022017614091273015,0.00200160128102482,0.9831865492393915,0.00100080064051241,0.00100080064051241,0.0022017614091273015,0.001401120896717374,0.00100080064051241
883779813_Pg346_09.fsa,Pg346,IN_01,IN,9,0.00100080064051241,0.00200160128102482,0.0024019215372297845,0.00100080064051241,0.0018014411529223382,0.0030024019215372302,0.9813851080864692,0.00100080064051241,0.0012009607686148923,0.00200160128102482,0.0012009607686148923,0.00200160128102482
883779813_Pg346_10.fsa,Pg346,IN_01,IN,10,0.00100080064051241,0.00100080064051241,0.00200160128102482,0.00100080064051241,0.0020016012810248206,0.001401120896717374,0.9843875100080065,0.00100080064051241,0.00100080064051241,0.0018014411529223382,0.001401120896717374,0.00200160128102482
883779813_Pg346_11.fsa,Pg346,IN_01,IN,11,0.0010004001600640256,0.002801120448179272,0.004001600640256103,0.0022008803521408565,0.005202080832332933,0.005602240896358544,0.9617847138855542,0.0010004001600640256,0.0010004001600640256,0.004801920768307323,0.0034013605442176874,0.0072028811524609835
883779813_Pg346_12.fsa,Pg346,IN_01,IN,12,0.0010008006405124099,0.0020016012810248197,0.0020016012810248197,0.0010008006405124099,0.0012009607686148918,0.0020016012810248197,0.982986389111289,0.0012009607686148918,0.0010008006405124099,0.001801441152922338,0.001801441152922338,0.0020016012810248197
883779813_Pg346_13.fsa,Pg346,IN_01,IN,13,0.001200960768614892,0.00200160128102482,0.00200160128102482,0.00100080064051241,0.001200960768614892,0.00200160128102482,0.9847878302642114,0.00100080064051241,0.00100080064051241,0.0018014411529223382,0.00100080064051241,0.00100080064051241
883779813_Pg346_14.fsa,Pg346,IN_01,IN,14,0.001,0.0156,0.004,0.0024000000000000002,0.009000000000000001,0.0088,0.9315999999999999,0.0028,0.002,0.0084,0.0032,0.0112
883779813_Pg346_15.fsa,Pg346,IN_01,IN,15,0.001,0.003,0.011199999999999998,0.001,0.0024000000000000002,0.0036,0.9686,0.001,0.0012000000000000001,0.0026000000000000003,0.0014,0.003
883779813_Pg346_16.fsa,Pg346,IN_01,IN,16,0.0010024057738572574,0.0012028869286287089,0.0010024057738572574,0.0010024057738572574,0.0012028869286287089,0.0010024057738572574,0.9883720930232558,0.0010024057738572574,0.0010024057738572574,0.0012028869286287089,0.0010024057738572574,0.0010024057738572574
883779813_Pg346_17.fsa,Pg346,IN_01,IN,17,9.99200639488409e-4,0.001998401278976818,0.001998401278976818,9.99200639488409e-4,0.0021982414068745,0.003996802557953636,0.9750199840127898,0.005995203836930455,9.99200639488409e-4,0.0017985611510791366,0.0019984012789768186,0.001998401278976818
883779813_Pg346_18.fsa,Pg346,IN_01,IN,18,0.0010010010010010012,0.0010010010010010012,0.02742742742742743,0.0010010010010010012,0.0016016016016016019,0.0018018018018018023,0.9597597597597597,0.0010010010010010012,0.0010010010010010012,0.002002002002002003,0.0012012012012012014,0.0012012012012012014
883779813_Pg346_19.fsa,Pg346,IN_01,IN,19,0.0014019627478469858,0.006208692169036651,0.007210094131784498,0.002002803925495694,0.006008411776487082,0.005607850991387943,0.9327057881033447,0.002002803925495694,0.0012016823552974164,0.0098137392349289,0.0022030843180452634,0.023633086320849185
883779813_Pg346_20.fsa,Pg346,IN_01,IN,20,0.0010002000400080016,0.002000400080016003,0.002000400080016003,0.0010002000400080016,0.01160232046409282,0.0034006801360272052,0.9663932786557312,0.003000600120024005,0.0010002000400080016,0.001800360072014403,0.002000400080016003,0.0048009601920384086
883779813_Pg346_21.fsa,Pg346,IN_01,IN,21,0.0012016823552974166,0.001001401962747847,0.006008411776487082,0.001001401962747847,0.0018025235329461248,0.001001401962747847,0.9749649509313038,0.001001401962747847,0.00700981373923493,0.0014019627478469858,0.0012016823552974166,0.0024033647105948333
883779813_Pg346_22.fsa,Pg346,IN_01,IN,22,0.0010004001600640256,0.0020008003201280513,0.0020008003201280513,0.0010004001600640256,0.002601040416166467,0.0012004801920768309,0.9807923169267707,0.0010004001600640256,0.0012004801920768309,0.0022008803521408565,0.0012004801920768309,0.003801520608243297
883779813_Pg346_23.fsa,Pg346,IN_01,IN,23,9.99200639488409e-4,0.001998401278976818,0.001998401278976818,9.99200639488409e-4,0.0017985611510791366,0.001998401278976818,0.9828137490007992,9.99200639488409e-4,0.001199040767386091,0.001998401278976818,0.001199040767386091,0.001998401278976818
