sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
883779813_Pg346_01.fsa,Pg346,IN_01,IN,1,0.006797281087564975,0.0031987205117952823,0.20151939224310272,0.0013994402239104358,0.7870851659336267
883779813_Pg346_02.fsa,Pg346,IN_01,IN,2,0.02981192476990796,0.0024009603841536617,0.2006802721088435,0.0010004001600640256,0.7661064425770309
883779813_Pg346_03.fsa,Pg346,IN_01,IN,3,0.0021999999999999997,0.0021999999999999997,0.20099999999999998,0.0014,0.7931999999999999
883779813_Pg346_04.fsa,Pg346,IN_01,IN,4,0.001999200319872051,0.0021991203518592567,0.20011995201919233,0.0015993602558976412,0.7940823670531788
883779813_Pg346_05.fsa,Pg346,IN_01,IN,5,0.0020008003201280513,0.003201280512204882,0.20588235294117646,0.0012004801920768309,0.7877150860344138
883779813_Pg346_06.fsa,Pg346,IN_01,IN,6,0.0010004001600640256,0.006202480992396959,0.19647859143657462,0.020008003201280513,0.7763105242096838
883779813_Pg346_07.fsa,Pg346,IN_01,IN,7,0.001999200319872051,0.008396641343462614,0.1977209116353459,9.996001599360256e-4,0.7908836465413835
883779813_Pg346_08.fsa,Pg346,IN_01,IN,8,0.0010006003602161296,0.016009605763458074,0.18631178707224333,0.0010006003602161296,0.7956774064438663
883779813_Pg346_09.fsa,Pg346,IN_01,IN,9,0.002000400080016003,0.003400680136027206,0.19943988797759554,0.0010002000400080016,0.7941588317663533
883779813_Pg346_10.fsa,Pg346,IN_01,IN,10,0.002,0.002,0.2008,0.002,0.7932
883779813_Pg346_11.fsa,Pg346,IN_01,IN,11,0.002000400080016003,0.0038007601520304063,0.20264052810562108,0.0010002000400080016,0.7905581116223245
883779813_Pg346_12.fsa,Pg346,IN_01,IN,12,0.003200640128025605,0.002400480096019204,0.2010402080416083,0.0010002000400080016,0.7923584716943388
883779813_Pg346_13.fsa,Pg346,IN_01,IN,13,0.0026000000000000003,0.003,0.1996,0.0018000000000000002,0.7929999999999999
883779813_Pg346_14.fsa,Pg346,IN_01,IN,14,0.0036,0.0054,0.20539999999999997,0.0018000000000000002,0.7838
883779813_Pg346_15.fsa,Pg346,IN_01,IN,15,0.0014008405043025814,0.0070042025215129085,0.20232139283570139,0.0010006003602161296,0.7882729637782669
883779813_Pg346_16.fsa,Pg346,IN_01,IN,16,0.001600640256102441,0.0020008003201280513,0.1998799519807923,0.0012004801920768309,0.7953181272509003
883779813_Pg346_17.fsa,Pg346,IN_01,IN,17,0.007603041216486594,0.0038015206082432974,0.19947979191676668,0.0010004001600640256,0.7881152460984394
883779813_Pg346_18.fsa,Pg346,IN_01,IN,18,0.0024000000000000002,0.0046,0.2062,0.001,0.7857999999999999
883779813_Pg346_19.fsa,Pg346,IN_01,IN,19,0.0026005201040208044,0.0034006801360272057,0.20164032806561305,0.001200240048009602,0.7911582316463293
883779813_Pg346_20.fsa,Pg346,IN_01,IN,20,0.013202640528105622,0.004200840168033607,0.21944388877775553,0.0016003200640128028,0.7615523104620925
883779813_Pg346_21.fsa,Pg346,IN_01,IN,21,0.0016003200640128028,0.0024004800960192043,0.2028405681136227,0.005001000200040008,0.7881576315263052
883779813_Pg346_22.fsa,Pg346,IN_01,IN,22,0.0018000000000000002,0.0032,0.20399999999999996,0.0012000000000000001,0.7898
883779813_Pg346_23.fsa,Pg346,IN_01,IN,23,0.0010002000400080016,0.002800560112022404,0.20084016803360666,0.0010002000400080016,0.7943588717743548
883779813_Pg346_24.fsa,Pg346,IN_01,IN,24,0.0017996400719856032,0.002399520095980804,0.20195960807838428,0.0015996800639872027,0.792241551689662
883779813_Pg347_01.fsa,Pg347,KY_02,KY,25,0.0017996400719856032,0.20215956808638272,0.20235952809438112,0.001999600079984003,0.5916816636672666
