sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
883779813_Pg346_01.fsa,Pg346,IN_01,IN,1,0.005198960207958409,0.001199760047990402,0.003399320135972806,0.0057988402319536095,0.19696060787842432,0.0013997200559888023,0.7774445110977805,0.0037992401519696063,0.0015996800639872027,0.0031993601279744054
883779813_Pg346_02.fsa,Pg346,IN_01,IN,2,0.00579884023195361,9.998000399920016e-4,0.005398920215956809,0.002399520095980804,0.19996000799840033,0.0017996400719856032,0.7640471905618876,0.015996800639872022,0.0015996800639872027,0.001999600079984003
883779813_Pg346_03.fsa,Pg346,IN_01,IN,3,0.0015996800639872027,0.001199760047990402,0.0015996800639872027,0.001999600079984003,0.1993601279744051,0.0017996400719856032,0.7880423915216956,0.0017996400719856032,9.998000399920016e-4,0.0015996800639872027
883779813_Pg346_04.fsa,Pg346,IN_01,IN,4,0.001801080648389034,0.0010006003602161299,0.0012007204322593559,0.002201320792475486,0.19851911146688014,0.0010006003602161299,0.7898739243546128,0.0010006003602161299,0.001600960576345808,0.001801080648389034
883779813_Pg346_05.fsa,Pg346,IN_01,IN,5,0.0018007202881152463,0.0010004001600640256,0.002200880352140856,0.0062024809923969595,0.19347739095638256,0.0018007202881152463,0.7841136454581833,0.001600640256102441,0.0012004801920768309,0.006602641056422569
883779813_Pg346_06.fsa,Pg346,IN_01,IN,6,0.002000400080016003,0.014802960592118422,0.002400480096019204,0.004000800160032006,0.18863772754550912,0.0010002000400080016,0.7745549109821964,0.0010002000400080016,0.008001600320064013,0.0036007201440288058
883779813_Pg346_07.fsa,Pg346,IN_01,IN,7,0.004402641584950971,0.0010006003602161296,0.006203722233340005,0.006603962377426456,0.1813087852711627,0.0010006003602161296,0.7866720032019211,0.0012007204322593559,0.006403842305383231,0.005203121873123874
883779813_Pg346_08.fsa,Pg346,IN_01,IN,8,0.001999600079984003,9.998000399920016e-4,0.0019996000799840036,0.004399120175964806,0.16676664667066587,9.998000399920016e-4,0.8114377124575085,9.998000399920016e-4,0.007198560287942412,0.0031993601279744054
883779813_Pg346_09.fsa,Pg346,IN_01,IN,9,0.00200160128102482,0.00100080064051241,0.002401921537229784,0.00400320256204964,0.19295436349079265,0.001401120896717374,0.7888310648518815,0.001200960768614892,0.002401921537229784,0.0038030424339471577
883779813_Pg346_10.fsa,Pg346,IN_01,IN,10,0.003201280512204882,0.0012004801920768309,0.001600640256102441,0.0026010404161664665,0.1980792316926771,0.0010004001600640256,0.7869147659063626,0.0018007202881152463,0.0012004801920768309,0.0024009603841536617
883779813_Pg346_11.fsa,Pg346,IN_01,IN,11,0.004199160167966408,9.998000399920016e-4,0.002199560087982403,0.002799440111977604,0.1975604879024195,0.0017996400719856032,0.7816436712657469,0.0015996800639872027,0.0019996000799840036,0.005198960207958409
883779813_Pg346_12.fsa,Pg346,IN_01,IN,12,0.002801120448179272,0.0010004001600640256,0.0024009603841536617,0.002601040416166467,0.1994797919167667,0.0010004001600640256,0.7855142056822728,0.0020008003201280513,0.0012004801920768309,0.0020008003201280513
883779813_Pg346_13.fsa,Pg346,IN_01,IN,13,0.001999200319872051,0.001199520191923231,0.0019992003198720516,0.0025989604158336665,0.19612155137944823,9.996001599360256e-4,0.7882846861255498,0.0017992802878848463,0.0027988804478208716,0.0021991203518592567
883779813_Pg346_14.fsa,Pg346,IN_01,IN,14,0.0065986802639472104,0.001199760047990402,0.008598280343931213,0.004199160167966407,0.19956008798240352,0.002799440111977605,0.7620475904819035,0.0031993601279744054,0.002799440111977605,0.008998200359928014
883779813_Pg346_15.fsa,Pg346,IN_01,IN,15,0.004200840168033607,0.0010002000400080016,0.003200640128025605,0.015803160632126428,0.19063812762552512,0.0010002000400080016,0.7749549909981996,0.0010002000400080016,0.0034006801360272057,0.004800960192038408
883779813_Pg346_16.fsa,Pg346,IN_01,IN,16,0.0014008405043025814,0.0012007204322593557,0.0016009605763458075,0.0018010806483890335,0.19771863117870722,0.0010006003602161296,0.790874524714829,0.0010006003602161296,0.0020012007204322597,0.0014008405043025814
883779813_Pg346_17.fsa,Pg346,IN_01,IN,17,0.001800360072014403,0.0010002000400080016,0.003000600120024005,0.002600520104020805,0.1908381676335267,0.0010002000400080016,0.7855571114222843,0.006401280256051211,0.002600520104020805,0.00520104020804161
883779813_Pg346_18.fsa,Pg346,IN_01,IN,18,0.003999200159968006,9.998000399920016e-4,0.001199760047990402,0.04739052189562088,0.1819636072785443,9.998000399920016e-4,0.7584483103379325,0.0017996400719856032,0.001199760047990402,0.001999600079984003
883779813_Pg346_19.fsa,Pg346,IN_01,IN,19,0.0029988004798080768,9.996001599360256e-4,0.0029988004798080768,0.0035985605757696926,0.20491803278688525,0.0017992802878848463,0.7736905237904838,0.002399040383846462,0.0037984806077568977,0.0027988804478208716
883779813_Pg346_20.fsa,Pg346,IN_01,IN,20,0.0018000000000000002,0.001,0.0021999999999999997,0.0034000000000000002,0.238,0.0016,0.7378,0.0078,0.0016,0.0048000000000000004
883779813_Pg346_21.fsa,Pg346,IN_01,IN,21,0.0016009605763458075,0.010006003602161296,0.0014008405043025814,0.011406844106463877,0.20092055233139883,0.0010006003602161296,0.7692615569341605,0.0012007204322593557,0.0014008405043025814,0.0018010806483890335
883779813_Pg346_22.fsa,Pg346,IN_01,IN,22,0.0036036036036036037,0.001001001001001001,0.001801801801801802,0.002202202202202202,0.20480480480480479,0.0012012012012012014,0.780980980980981,0.001001001001001001,0.0014014014014014013,0.002002002002002002
883779813_Pg346_23.fsa,Pg346,IN_01,IN,23,0.002601040416166467,0.0010004001600640256,0.0020008003201280517,0.0024009603841536617,0.19787915166066425,0.0012004801920768309,0.7879151660664266,0.0010004001600640256,0.0020008003201280517,0.0020008003201280513
