sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
883779813_Pg346_01.fsa,Pg346,IN_01,IN,1,0.004999000199960008,0.1971605678864227,0.003599280143971206,0.0013997200559888023,0.002999400119976005,0.7806438712257548,0.002999400119976005,0.0035992801439712063,0.0025994801039792045
883779813_Pg346_02.fsa,Pg346,IN_01,IN,2,0.0032,0.19319999999999998,0.004999999999999999,0.0012000000000000001,0.002,0.7769999999999999,0.009600000000000001,0.0046,0.004200000000000001
883779813_Pg346_03.fsa,Pg346,IN_01,IN,3,0.0016009605763458077,0.19871923153892337,0.0014008405043025817,0.0012007204322593559,0.0014008405043025817,0.7908745247148289,0.0016009605763458077,0.0016009605763458077,0.0016009605763458077
883779813_Pg346_04.fsa,Pg346,IN_01,IN,4,0.0022004400880176037,0.19883976795359073,0.002000400080016003,0.0016003200640128028,0.0016003200640128028,0.7903580716143228,0.0010002000400080016,0.0012002400480096021,0.0012002400480096021
883779813_Pg346_05.fsa,Pg346,IN_01,IN,5,0.006198760247950409,0.19796040791841632,0.001999600079984003,0.001199760047990402,0.005798840231953609,0.7782443511297741,0.0015996800639872027,0.0015996800639872027,0.005398920215956809
883779813_Pg346_06.fsa,Pg346,IN_01,IN,6,0.0048000000000000004,0.2028,0.0024000000000000002,0.0154,0.004,0.7638,0.001,0.001,0.0048000000000000004
883779813_Pg346_07.fsa,Pg346,IN_01,IN,7,0.013002600520104022,0.1970394078815763,0.008601720344068814,0.0010002000400080016,0.00640128025605121,0.7573514702940588,0.0014002800560112022,0.0010002000400080016,0.014202840568113623
883779813_Pg346_08.fsa,Pg346,IN_01,IN,8,0.007198560287942412,0.1981603679264147,0.004199160167966407,9.998000399920016e-4,0.005598880223955209,0.7540491901619676,9.998000399920016e-4,9.998000399920016e-4,0.027794441111777646
883779813_Pg346_09.fsa,Pg346,IN_01,IN,9,0.005203121873123874,0.19791875125075045,0.0026015609365619375,0.0012007204322593559,0.00440264158495097,0.782069241544927,0.0014008405043025817,0.0012007204322593559,0.0040024014408645186
883779813_Pg346_10.fsa,Pg346,IN_01,IN,10,0.0025994801039792045,0.1983603279344131,0.0025994801039792045,0.001199760047990402,0.002399520095980804,0.78784243151369715,0.0013997200559888023,0.0013997200559888023,0.002199560087982403
883779813_Pg346_11.fsa,Pg346,IN_01,IN,11,0.0035992801439712063,0.19496100779844033,0.004599080183963208,9.998000399920016e-4,0.005198960207958408,0.7800439912017597,0.0015996800639872027,0.001999600079984003,0.006998600279944012
883779813_Pg346_12.fsa,Pg346,IN_01,IN,12,0.0022004400880176037,0.19803960792158432,0.0022004400880176037,0.0010002000400080016,0.002000400080016003,0.7885577115423085,0.001800360072014403,0.002000400080016003,0.0022004400880176037
883779813_Pg346_13.fsa,Pg346,IN_01,IN,13,0.002400480096019204,0.19863972794558912,0.0022004400880176033,0.0014002800560112022,0.002400480096019204,0.7871574314862972,0.0014002800560112022,0.001800360072014403,0.0026005201040208044
883779813_Pg346_14.fsa,Pg346,IN_01,IN,14,0.0054,0.1896,0.006999999999999999,0.0016,0.0073999999999999995,0.7718,0.0026,0.0024000000000000002,0.012199999999999999
883779813_Pg346_15.fsa,Pg346,IN_01,IN,15,0.018607442977190875,0.19587835134053622,0.005002000800320128,0.0010004001600640256,0.0056022408963585435,0.7651060424169668,0.0010004001600640256,0.0010004001600640256,0.006802721088435375
883779813_Pg346_16.fsa,Pg346,IN_01,IN,16,0.0020012007204322593,0.19871923153892337,0.0018010806483890337,0.0012007204322593559,0.0014008405043025817,0.7908745247148289,0.0010006003602161296,0.0010006003602161296,0.0020012007204322593
883779813_Pg346_17.fsa,Pg346,IN_01,IN,17,0.0028,0.1968,0.0024000000000000002,0.001,0.005600000000000001,0.7766,0.0058000000000000005,0.003,0.006
883779813_Pg346_18.fsa,Pg346,IN_01,IN,18,0.042242242242242246,0.1941941941941942,0.0024024024024024027,0.001001001001001001,0.002002002002002002,0.7535535535535536,0.0016016016016016017,0.0014014014014014013,0.0016016016016016017
883779813_Pg346_19.fsa,Pg346,IN_01,IN,19,0.00520104020804161,0.18883776755351073,0.007201440288057612,0.0014002800560112022,0.0036007201440288058,0.7855571114222843,0.002000400080016003,0.002000400080016003,0.004200840168033608
883779813_Pg346_20.fsa,Pg346,IN_01,IN,20,0.0026005201040208044,0.1968393678735747,0.0022004400880176033,0.001200240048009602,0.0036007201440288058,0.786757351470294,0.0026005201040208044,0.001800360072014403,0.002400480096019204
