sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11
883779813_Pg346_01.fsa,Pg346,IN_01,IN,1,0.002200880352140856,0.19607843137254902,0.002601040416166467,0.19767907162865145,0.004201680672268907,0.1956782713085234,0.002801120448179272,0.0010004001600640256,0.004601840736294518,0.0010004001600640256,0.39215686274509803
883779813_Pg346_02.fsa,Pg346,IN_01,IN,2,0.004798080767692924,0.19412235105957615,0.002399040383846462,0.19352259096361454,0.006597361055577769,0.20071971211515396,0.009596161535385847,9.996001599360256e-4,0.002798880447820871,0.0017992802878848463,0.3826469412235105
883779813_Pg346_03.fsa,Pg346,IN_01,IN,3,0.0014008405043025817,0.197518511106664,0.0010006003602161296,0.19911947168300984,0.0012007204322593559,0.19871923153892337,0.0014008405043025817,0.0010006003602161296,0.0020012007204322593,0.0012007204322593559,0.39543726235741444
883779813_Pg346_04.fsa,Pg346,IN_01,IN,4,0.0010006003602161296,0.19811887132279368,0.0014008405043025817,0.1989193516109666,0.0016009605763458077,0.19831899139483689,0.0010006003602161296,0.0010006003602161296,0.0022013207924754855,0.0010006003602161296,0.39543726235741444
883779813_Pg346_05.fsa,Pg346,IN_01,IN,5,0.002402883460152183,0.19383259911894274,0.004805766920304365,0.2032438926712054,0.0014016820184221067,0.1918301962354826,0.0014016820184221067,0.0010012014417300763,0.005206247496996397,0.0014016820184221067,0.3934721665999199
883779813_Pg346_06.fsa,Pg346,IN_01,IN,6,0.002798880447820872,0.1923230707716913,0.0031987205117952823,0.1985205917632947,0.0021991203518592567,0.1831267493002799,9.996001599360256e-4,0.007397041183526591,0.003598560575769692,9.996001599360256e-4,0.40483806477409034
883779813_Pg346_07.fsa,Pg346,IN_01,IN,7,0.007005604483586871,0.19535628502802244,0.004403522818254604,0.20616493194555643,0.005804643714971978,0.1811449159327462,0.0012009607686148923,0.00100080064051241,0.00600480384307446,0.00100080064051241,0.3909127301841473
883779813_Pg346_08.fsa,Pg346,IN_01,IN,8,0.0024004800960192043,0.19763952790558112,0.002600520104020805,0.22684536907381472,0.0028005601120224045,0.16703340668133626,0.0010002000400080016,0.0010002000400080016,0.004000800160032006,0.0010002000400080016,0.39367873574714946
883779813_Pg346_09.fsa,Pg346,IN_01,IN,9,0.0028,0.1972,0.003999999999999999,0.1998,0.0024000000000000002,0.19319999999999998,0.0012000000000000001,0.001,0.003999999999999999,0.0012000000000000001,0.39319999999999994
883779813_Pg346_10.fsa,Pg346,IN_01,IN,10,0.001401120896717374,0.19635708566853483,0.001601281024819856,0.20036028823058447,0.0026020816653322663,0.19755804643714972,0.001401120896717374,0.00100080064051241,0.002401921537229784,0.00100080064051241,0.3943154523618895
883779813_Pg346_11.fsa,Pg346,IN_01,IN,11,0.0022013207924754855,0.19451671002601562,0.004602761656994197,0.2045227136281769,0.0048028817290374235,0.19691815089053433,0.0014008405043025817,0.0010006003602161296,0.003402041224734841,0.0018010806483890337,0.38483089853912344
883779813_Pg346_12.fsa,Pg346,IN_01,IN,12,0.0022004400880176033,0.1970394078815763,0.002000400080016003,0.19803960792158432,0.0022004400880176033,0.1982396479295859,0.001800360072014403,0.0010002000400080016,0.0022004400880176033,0.0010002000400080016,0.39427885577115424
883779813_Pg346_13.fsa,Pg346,IN_01,IN,13,0.0022008803521408565,0.1980792316926771,0.0022008803521408565,0.1990796318527411,0.0018007202881152463,0.19627851140456182,0.0012004801920768309,0.0010004001600640256,0.0022008803521408565,0.0010004001600640256,0.39495798319327724
883779813_Pg346_14.fsa,Pg346,IN_01,IN,14,0.013597280543891224,0.1917616476704659,0.007998400319936013,0.19356128774245152,0.007398520295940811,0.2009598080383923,0.002999400119976005,9.998000399920016e-4,0.0037992401519696063,0.002799440111977604,0.37412517496500697
883779813_Pg346_15.fsa,Pg346,IN_01,IN,15,0.0040024014408645186,0.19331598959375623,0.004602761656994196,0.1997198318991395,0.003402041224734841,0.18991394836902145,0.0010006003602161296,0.0010006003602161296,0.014008405043025815,0.0010006003602161296,0.3880328196918151
883779813_Pg346_16.fsa,Pg346,IN_01,IN,16,0.001801801801801802,0.1985985985985986,0.0012012012012012014,0.1991991991991992,0.0012012012012012014,0.1975975975975976,0.001001001001001001,0.001001001001001001,0.0014014014014014013,0.001001001001001001,0.39599599599599594
