state_region,canonical_population_code,n_individuals,Wen_Label
EX-S,Pgl348_EXS,24,EX_01
EX-S,Pgl353_EXS,24,EX_02
EX-S,Pgl355_EXS,24,EX_03
IN,Pgl346_IN,24,IN_01
KY,Pgl347_KY,10,KY_02
KY,Pgl349_KY,22,KY_01
KY,Pgl350_KY,22,KY_03
KY,Pgl351_KY,24,KY_04
KY,Pgl352_KY,24,KY_05
KY,Pgl354_KY,11,KY_06
TNE,Pgl356_TNE,24,TNE_02
TNE,Pgl357_TNE,24,TNE_01
TNW,Pgl358_TNW,24,TNW_04
TNW,Pgl359_TNW,24,TNW_05
TNW,Pgl360_TNW,24,TNW_03
TNW,Pgl361_TNW,9,TNW_02
TNW,Pgl362_TNW,14,TNW_01
