Pop,lat,long
346,37.82094897,-88.00325397
347,38.22313003,-84.85670001
348,38.22032,-84.84416303
349,38.31569499,-84.80877598
350,38.20885196,-84.88518599
351,38.11136297,-84.87653998
352,37.97017199,-84.69826201
353,37.83057299,-84.64093197
354,37.84898601,-84.42967599
355,37.98322898,-84.49189
356,36.3058,-85.9404
357,36.3736,-86.172
358,36.208363,-86.980126
359,36.213167,-86.961927
360,36.242107,-87.042081
361,36.39425,-87.262326
362,36.501393,-87.318045
